TR000	 MR=P, FR=N, MM=P, FM=P
TR211	 MR=N, FR=N, MM=N, FM=N
TR212	 MR=N, FR=N, MM=P, FM=P
TR213	 MR=IS, FR=P, MM=N, FM=N
TR214	 MR=N, FR=N, MM=N, FM=N
TR215	 MR=E, FR=N, MM=N, FM=N
TR216	 MR=P, FR=N, MM=E, FM=N
TR217	 MR=P, FR=P, MM=P, FM=P
TR219	 MR=N, FR=N, MM=P, FM=P
TR220	 MR=N, FR=N, MM=N, FM=N
TR222	 MR=P, FR=N, MM=N, FM=P
TR223	 MR=N, FR=N, MM=E, FM=E
TR225	 MR=P, FR=E, MM=N, FM=N
TR226	 MR=P, FR=P, MM=N, FM=N
TR228	 MR=N, FR=N, MM=N, FM=N
TR232	 MR=E, FR=N, MM=P, FM=P
TR233	 MR=N, FR=N, MM=E, FM=P
TR234	 MR=P, FR=E, MM=N, FM=N
TR235	 MR=N, FR=N, MM=P, FM=P
TR236	 MR=N, FR=N, MM=N, FM=N
TR237	 MR=E, FR=N, MM=P, FM=P
TR238	 MR=P, FR=N, MM=N, FM=E
TR240	 MR=E, FR=N, MM=E, FM=N
TR242	 MM=E
TR243	 MR=IS, FR=N, MM=P, FM=P
TR245	 MR=P, FR=N, MM=N, FM=N
TR247	 MR=N, FR=N, MM=N, FM=N
TR248	 MR=P, FR=P, MM=P, FM=P
TR253	 MR=P, FR=N, MM=N, FM=P
TR255	 MR=N, FR=N, MM=N, FM=N
TR257	 MR=P, FR=P, MM=P, FM=P
TR259	 MR=P, FR=P, MM=P, FM=P
TR261	 MR=E, FR=N, MM=N, FM=N
TR263	 MR=NE, FR=EE, MM=SE, FM=SE
TR266	 MR=CE, FR=NE, MM=NE, FM=NE
TR267	 MR=SE, FR=SE, MM=CE, FM=CE
TR269	 MR=CE, FR=SE, MM=IS, FM=CE
TR271	 MR=EE, FR=SE, MM=CE, FM=CE
TR272	 MR=NE, FR=NE, MM=NE, FM=NE
TR274	 MR=EE, FR=NE, MM=NE, FM=SE
TR275	 MR=NE, FR=NE, MM=NE, FM=NE
TR276	 MR=NE, FR=NE, MM=NE, FM=NE
TR278	 MR=P, FR=P
TR281	 MR=NE, FR=NE, MM=EE, FM=IS
TR282	 MR=NE, FR=NE, MM=EE, FM=SE
TR284	 MR=NE, FR=EE
TR285	 MR=CE, FR=CE, MM=CE, FM=CE
TR287	 MR=CE, FR=EE, MM=NE, FM=NE
TR288	 MM=CE
TR289	 MR=CE, FR=CE, MM=CE, FM=CE
TR291	 MR=SE, FR=NE, MM=EE, FM=NE
TR293	 MR=NE, FR=NE, MM=NE, FM=NE
TR298	 MR=SE, FR=SE, MM=NE, FM=NE
TR299	 MR=CE, FR=CE, MM=EE, FM=NE
TR300	 MR=CE, FR=CE, MM=CE, FM=CE
TR303	 MR=IS, FR=IS, MM=IS, FM=CE
TR304	 MR=CE, FR=CE, MM=CE, FM=NE
TR305	 MR=NE, FR=EE, MM=CE, FM=EE
TR306	 MR=SE, FR=CE, MM=CE, FM=CE
TR307	 MR=NE, FR=NE, MM=NE, FM=NE
TR308	 MR=CE, FR=CE, MM=CE, FM=CE
TR309	 MR=SE, FR=SE, MM=EE, FM=NE
TR311	 MR=CE, FR=SE, MM=CE, FM=CE
TR312	 MR=NE, FR=NE, MM=NE, FM=NE
TR313	 MR=CE, FR=CE
TR314	 MR=NE, FR=NE, MM=NE, FM=NE
TR315	 MR=EE, FR=EE, MM=NE, FM=NE
TR316	 MR=CE, FR=CE, MM=CE, FM=CE
TR318	 MR=EE, FR=NE, MM=NE, FM=NE
TR319	 MR=CE, FR=NE, MM=CE, FM=CE
TR320	 MR=EE, FR=NE, MM=NE, FM=NE
TR321	 MR=CE, FR=CE, MM=CE, FM=CE
TR322	 MR=NE, FR=NE, MM=NE, FM=NE
TR323	 MR=SE, FR=NE, MM=IS, FM=NE
TR324	 MM=NE
TR325	 MM=NE
TR326	 MM=CE
TR328	 MR=CE, FR=CE, MM=NE, FM=NE
TR329	 MR=CE, FR=EE, MM=NE, FM=NE
TR330	 MR=NE, FR=NE, MM=EE, FM=NE
TR331	 MR=CE, FR=CE, MM=NE, FM=NE
TR332	 MR=SE, FR=SE, MM=NE, FM=EE
TR333	 MR=NE, FR=NE, MM=NE, FM=EE
TR334	 MR=SE, FR=NE, MM=NE, FM=NE
TR335	 MR=NE, FR=CE, MM=NE, FM=NE
TR336	 MR=NE, FR=NE, MM=NE, FM=NE
TR337	 MR=EE, FR=CE, MM=NE, FM=CE
TR339	 MR=SE, FR=NE, MM=NE, FM=NE
TR341	 MR=SE, FR=NE, MM=NE, FM=CE
TR342	 MR=SE, FR=EE, MM=SE, FM=CE
TR343	 MR=NE, FR=NE, MM=NE, FM=NE
TR344	 MR=NE, FR=NE, MM=NE, FM=NE
TR345	 MR=EE, FR=NE, MM=NE, FM=NE
TR346	 MR=EE, FR=EE, MM=IS, FM=CE
TR347	 MR=CE, FR=NE, MM=NE, FM=NE
TR348	 MR=NE, FR=NE, MM=EE, FM=NE
TR350	 MR=SE, FR=CE, MM=NE, FM=NE
TR351	 MR=CE, FR=EE, MM=SE, FM=NE
TR352	 MR=NE, FR=NE, MM=CE, FM=CE
TR353	 MR=NE, FR=NE, MM=NE, FM=NE
TR354	 MR=NE, FR=NE, MM=EE, FM=NE
TR355	 MR=EE, FR=EE, MM=NE, FM=NE
TR356	 MR=EE, FR=NE, MM=NE, FM=SE
TR357	 MR=NE, FR=NE, MM=EE, FM=NE
TR358	 MR=CE, FR=CE
TR359	 MR=CE, FR=NE
TR360	 MR=SE, FR=NE, MM=NE, FM=EE
TR361	 MR=CE, FR=NE
TR362	 MR=CE, FR=CE, MM=CE, FM=CE
TR363	 MR=SE, FR=EE, MM=EE, FM=CE
TR364	 MR=EE, FR=EE, MM=NE, FM=NE
TR365	 MR=EE, FR=EE, MM=NE, FM=NE
TR366	 MR=SE, FR=SE, MM=NE, FM=SE
TR367	 MR=EE, FR=SE, MM=SE, FM=NE
TR368	 MR=CE, FR=CE, MM=EE, FM=NE
TR369	 MR=SE, FR=NE, MM=NE, FM=NE
TR370	 MR=NE, FR=SE, MM=CE, FM=CE
TR371	 MR=NE, FR=NE, MM=NE, FM=NE
TR372	 MR=CE, FR=CE
TR373	 MR=NE, FR=NE, MM=NE, FM=NE
TR374	 MR=CE, FR=CE, MM=CE, FM=CE
TR376	 MR=EE, FR=NE, MM=SE, FM=EE
TR377	 MR=NE, FR=NE, MM=NE, FM=NE
TR378	 MR=NE, FR=NE, MM=SE, FM=SE
TR379	 MR=NE, FR=EE, MM=NE, FM=NE
TR380	 MR=IS, FR=IS, MM=IS, FM=IS
TR381	 MM=NE
TR382	 MR=SE, FR=NE, MM=CE, FM=SE
TR383	 MR=CE, FR=CE, MM=CE, FM=CE
TR384	 MR=CE, FR=CE, MM=CE, FM=CE
TR385	 MM=NE
TR386	 MR=CE, FR=CE, MM=CE, FM=CE
TR387	 MR=NE, FR=NE, MM=NE, FM=NE
TR388	 MR=CE, FR=CE, MM=CE, FM=CE
TR389	 MR=NE, FR=NE
TR390	 MR=CE, FR=CE
TR391	 MR=CE, FR=CE, MM=EE, FM=EE
TR394	 MR=NE, FR=EE, MM=NE, FM=NE
TR395	 MR=NE, FR=NE, MM=NE, FM=SE
TR396	 MR=NE, FR=NE, MM=NE, FM=NE
TR397	 MR=CE, FR=CE
TR398	 MR=CE, FR=CE, MM=CE, FM=CE
TR400	 MR=CE, FR=CE, MM=CE, FM=CE
TR401	 MR=NE, FR=NE, MM=SE, FM=NE
TR402	 MR=CE, FR=CE, MM=CE, FM=CE
TR403	 MR=NE, FR=NE, MM=NE, FM=NE
TR404	 MR=EE, FR=NE, MM=NE, FM=CE
TR405	 MR=CE, FR=CE
TR406	 MR=NE, FR=NE, MM=EE, FM=NE
TR407	 MR=SE, FR=SE, MM=SE, FM=NE
TR409	 MR=SE, FR=NE
TR410	 MM=NE
TR411	 MR=EE, FR=NE, MM=NE, FM=NE
TR412	 MR=NE, FR=NE, MM=NE, FM=NE
TR413	 MM=NE
TR414	 MR=SE, FR=EE, MM=SE, FM=NE
TR416	 MR=CE, FR=CE, MM=CE, FM=SE
TR417	 MM=NE
TR418	 MM=EE
TR419	 MR=EE, FR=NE, MM=NE, FM=NE
TR420	 MR=EE, FR=NE, MM=SE, FM=SE
TR422	 MR=SE, FR=EE, MM=SE, FM=CE
TR423	 MR=SE, FR=NE, MM=NE, FM=SE
TR424	 MR=NE, FR=EE, MM=SE, FM=NE
TR425	 MR=NE, FR=NE, MM=NE, FM=NE
TR427	 MR=NE, FR=EE, MM=EE, FM=EE
TR430	 MR=SE, FR=NE, MM=CE, FM=CE
TR431	 MR=NE, FR=NE, MM=NE, FM=NE
TR433	 MR=NE, FR=NE, MM=NE, FM=NE
TR434	 MM=CE
TR435	 MR=NE, FR=NE, MM=NE, FM=NE
TR436	 MR=SE, FR=NE, MM=EE, FM=SE
TR437	 MR=NE, FR=NE, MM=NE, FM=NE
TR438	 MR=NE, FR=NE, MM=NE, FM=NE
TR439	 MR=NE, FR=NE, MM=SE, FM=SE
TR442	 MR=NE, FR=SE, MM=NE, FM=NE
TR443	 MM=CE
TR445	 MR=NE, FR=NE, MM=NE, FM=NE
TR446	 MR=NE, FR=NE, MM=EE, FM=EE
TR447	 MR=EE, FR=NE, MM=NE, FM=NE
TR448	 MR=CE, FR=CE, MM=SE, FM=SE
TR449	 MR=EE, FR=NE, MM=IS, FM=IS
TR450	 MR=CE, FR=CE, MM=CE, FM=CE
TR452	 MR=CE, FR=CE, MM=CE, FM=CE
TR455	 MR=NE, FR=NE, MM=NE, FM=NE
TR456	 MR=SE, FR=NE, MM=NE, FM=NE
TR457	 MR=SE, FR=SE, MM=CE, FM=CE
TR458	 MR=SE, FR=EE
TR459	 MR=NE, FR=NE, MM=NE, FM=NE
TR461	 MR=NE, FR=CE, MM=CE, FM=CE
TR463	 MR=SE, FR=SE
TR464	 MR=NE, FR=NE, MM=NE, FM=NE
TR465	 MR=CE, FR=SE, MM=CE, FM=CE
TR466	 MR=CE, FR=SE, MM=SE, FM=SE
TR467	 MR=CE, FR=CE, MM=CE, FM=CE
TR468	 MR=EE, FR=NE
TR469	 MM=EE
TR470	 MR=SE, FR=EE, MM=CE, FM=CE
TR472	 MR=NE, FR=NE, MM=NE, FM=NE
TR473	 MR=NE, FR=NE, MM=NE, FM=NE
TR474	 FM=NE
TR475	 MR=SE, FR=NE, MM=NE, FM=CE
TR476	 MR=EE, FR=NE, MM=CE, FM=CE
TR477	 MR=NE, FR=NE, MM=NE, FM=NE
TR478	 MR=NE, FR=NE, MM=CE, FM=CE
TR480	 MR=NE, FR=NE, MM=NE, FM=SE
TR481	 MR=NE, FR=NE, MM=NE, FM=NE
TR482	 MR=SE, FR=EE, MM=SE, FM=NE
TR483	 MR=SE, FR=NE
TR484	 MR=NE, FR=EE, MM=SE, FM=SE
TR485	 MR=EE, FR=CE
TR486	 MR=CE, FR=SE
TR487	 MR=SE, FR=NE, MM=NE, FM=NE
TR490	 MR=NE, FR=NE, MM=NE, FM=NE
TR491	 MR=CE, FR=CE, MM=CE, FM=CE
TR493	 MR=NE, FR=EE, MM=EE, FM=NE
TR494	 MR=SE, FR=CE, MM=CE, FM=CE
TR495	 MR=NE, FR=NE, MM=NE, FM=EE
TR496	 MR=CE, FR=NE, MM=NE, FM=CE
TR499	 MR=CE, FR=CE, MM=CE, FM=CE
TR501	 MR=NE, FR=NE, MM=NE, FM=NE
TR502	 FM=EE
